IZ,name,Z,E,income,pm25,smr
S02001506,West Clober and Mains Estate,77,95.9534632,2.75,5.209073071,0.802472338
S02001507,East Clober and Mains Estate,138,126.3411042,11.25,5.480931834,1.092281098
S02001508,Barloch,93,147.1726821,4,5.340191,0.631910751
S02001509,Keystone and Dougalston,172,181.6542002,5.4,5.596096822,0.946853967
S02001510,Kilmardinny East,85,122.87582,1.5,5.9072565,0.691755302
S02001511,Kilmardinny West,140,167.3339893,3.5,5.9922215,0.836650107
S02001512,North Castlehill and Thorn,123,175.7758536,2.8,5.7807185,0.699754815
S02001513,South Castlehill and Thorn,130,161.9880184,5.2,5.9731345,0.802528491
S02001514,Westerton West,79,107.9755467,5,6.171447,0.731647141
S02001515,Westerton East,128,167.0031099,3.6,6.343085,0.766452793
S02001516,Kessington West,85,153.1652555,2.75,6.163296,0.554956147
S02001517,Kessington East,84,114.922548,3,6.1447775,0.730927059
S02001518,Torrance and Balmore,102,101.6496191,5.333333333,5.805866667,1.003446947
S02001519,Bishopbriggs North and Kenmure,164,217.3641795,3.571428571,6.197638,0.754494141
S02001520,Bishopbriggs West and Cadder,238,254.3924378,5.5,6.467729334,0.935562401
S02001521,Auchinairn,269,187.0963674,15.66666667,6.5153565,1.437761747
S02001522,Woodhill East,58,84.0935619,2.333333333,6.5905165,0.689707972
S02001523,Woodhill West,137,161.2557583,5.2,6.33359,0.849582064
S02001524,Lenzie North,211,209.2769583,6,6.141820063,1.008233308
S02001525,Lenzie South,107,123.7186488,2.25,5.9964915,0.864865572
S02001526,Kirkintilloch South,156,118.9159247,9,6.227597,1.311851212
S02001527,Kirkintilloch West,207,170.449413,13.4,5.757885417,1.214436567
S02001528,Hillhead,261,141.860039,21.4,6.113462,1.839841592
S02001529,Rosebank and Waterside,138,149.7421951,6.5,5.881249417,0.921583926
S02001530,Twechar and Harestanes East,107,98.3464537,12,5.536915429,1.087990425
S02001531,Harestanes,142,126.9854261,15.25,6.00109525,1.11823856
S02001532,Milton of Campsie,144,151.7494734,6.6,5.283252429,0.948932453
S02001533,Lennoxtown,175,165.6536127,10.6,5.014410615,1.056421271
S02001556,West Neilston and Uplawmoor,236,221.1388863,9.375,5.002471394,1.067202625
S02001557,Cross Stobbs,121,136.1990063,5.166666667,5.487459,0.888405894
S02001558,"Dunterlie, East Arthurlie and Dovecothall",336,215.4760058,21.44444444,5.66608725,1.559338353
S02001559,West Arthurlie and North Neilston,176,152.6448852,10.8,5.337171167,1.153002931
S02001560,Auchenback,176,138.0310494,18.8,5.7118635,1.275075432
S02001561,Crookfur and Fruin,231,282.108604,5.285714286,5.55499165,0.818833587
S02001562,"Mearns Village, Westacres and Greenfarm",207,209.2677385,7.5,5.82854725,0.989163459
S02001563,Whitecraigs and Broom,108,154.9034359,2.5,5.766517,0.69720855
S02001564,Mearnskirk and South Kirkhill,185,256.1448656,3.375,5.245609985,0.722247544
S02001565,Eaglesham and Waterfoot,142,185.6471339,6.285714286,5.089066888,0.764891959
S02001566,North Kirkhill,59,118.224627,4,5.6368505,0.499049999
S02001567,Busby,99,136.9301184,9.4,5.671114833,0.722996527
S02001568,Clarkston and Sheddens,145,232.7353864,1.75,6.049155,0.623025154
S02001569,Williamwood,76,114.2243043,1.8,6.049155,0.665357521
S02001570,Stamperland,97,136.1190282,3.4,6.1376095,0.712611611
S02001571,Netherlee,130,202.3248014,2.833333333,6.14730575,0.642531213
S02001572,Merrylee and Braidbar,133,201.2014292,4,6.3204385,0.661029102
