easting,northing,calcium,elevation,region
5710,4829,52,6.1,3
5727,4875,57,6.05,3
5745,4922,72,6.3,3
5764,4969,74,6.6,3
5781,5015,68,6.6,3
5799,5062,45,5.75,3
5817,5109,47,5.35,3
5837,5161,49,5.1,3
5873,5254,38,5,2
5907,5347,53,5.2,2
5925,5394,60,5.05,2
5943,5441,47,4.65,2
5961,5487,34,4.4,2
5681,4891,56,6.1,3
5698,4937,66,6.2,3
5734,5031,53,5.65,3
5751,5078,43,5.55,3
5769,5125,42,5.3,3
5790,5178,49,5,3
5808,5225,45,5.1,2
5825,5271,53,4.9,2
5843,5319,38,5.2,2
5864,5371,47,5.1,2
5881,5419,35,4.9,2
5899,5464,60,4.5,2
5918,5511,45,4.1,2
5634,4908,60,6.35,3
5653,4954,61,6.45,3
5670,5001,58,6.2,3
5688,5049,44,5.75,3
5705,5095,50,5.5,3
5723,5142,47,5.2,3
5744,5196,49,5.2,3
5761,5242,46,5.35,2
5797,5336,43,5.35,2
5818,5390,56,5.2,2
5836,5436,43,4.9,2
5871,5529,50,4,2
5606,4972,61,6.2,3
5623,5019,57,5.75,3
5641,5066,57,5.55,3
5659,5112,42,5.4,3
5677,5159,41,5.25,3
5698,5214,54,5.45,3
5715,5260,46,5.55,2
5733,5307,50,5.6,2
5750,5354,43,5.8,2
5770,5407,72,5.3,2
5806,5500,56,4.7,2
5825,5545,38,3.8,2
5541,4943,64,6,3
5559,4989,56,5.78,3
5576,5036,68,5.4,3
5595,5083,61,5.45,3
5613,5129,50,5.2,3
5631,5176,47,5.45,3
5651,5230,58,5.5,3
5668,5277,53,5.6,2
5686,5325,47,5.5,2
5704,5371,36,5,2
5724,5423,41,5.15,2
5765,5513,71,4.2,2
5784,5561,44,3.6,2
5495,4961,68,6.1,3
5512,5006,67,5.9,3
5530,5054,58,5.65,3
5547,5100,52,5.5,3
5565,5147,64,5.32,3
5582,5193,54,5.55,3
5604,5248,52,5.6,3
5622,5295,46,5.5,2
5658,5389,40,4.95,2
5677,5440,39,5.4,2
5713,5533,62,4,2
5448,4980,58,5.9,3
5466,5026,66,5.95,3
5484,5073,50,5.75,3
5501,5117,50,5.55,3
5518,5164,61,5.51,3
5536,5211,61,5.65,3
5557,5266,58,5.64,3
5575,5314,40,5.05,2
5593,5360,44,5.05,2
5631,5458,33,4.9,2
5666,5552,28,4.5,2
5685,5598,59,4.05,2
5402,4997,66,5.9,3
5420,5044,65,5.9,3
5437,5090,54,5.85,3
5455,5136,66,5.85,3
5473,5183,71,5.85,3
5491,5231,69,5.95,3
5511,5284,59,5.75,3
5529,5330,43,5.3,2
5547,5377,41,5.1,2
5584,5475,29,5,2
5638,5615,72,4.35,2
5355,5016,49,6.2,3
5373,5061,53,6.25,3
5391,5108,58,6.15,3
5409,5155,55,6.2,3
5427,5201,54,5.9,3
5445,5247,56,5.85,3
5466,5302,47,5.35,3
5484,5348,43,5.4,2
5501,5395,48,5.8,2
5519,5441,47,5.9,2
5538,5494,38,5.75,2
5289,4984,58,6.1,3
5308,5030,53,6.25,3
5325,5077,52,6.4,3
5344,5125,56,6.35,3
5362,5170,53,6,3
5379,5219,50,5.7,3
5398,5266,47,5.38,3
5437,5365,43,5.85,2
5455,5411,40,5.95,2
5473,5459,38,6,2
5243,5002,58,6.05,3
5261,5048,55,6.15,3
5279,5095,65,6.25,3
5297,5141,53,6,3
5316,5188,58,5.6,3
5334,5235,42,5.35,3
5351,5281,46,5.2,3
5374,5337,35,5.65,3
5448,5529,27,6,1
5485,5620,58,3.95,1
5179,4973,56,6.1,3
5197,5020,56,6.18,3
5215,5068,66,6.3,3
5233,5113,58,6.25,3
5251,5160,45,5.6,3
5270,5207,40,5.2,3
5288,5254,48,5.25,3
5307,5302,52,5.65,3
5327,5354,31,6.05,3
5363,5447,25,6.5,1
5437,5639,40,3.83,1
5131,4990,47,6.05,3
5150,5037,42,6.33,3
5169,5084,63,6.28,3
5186,5131,63,6.1,3
5204,5177,52,5.65,3
5222,5225,39,5.25,3
5240,5270,47,5.65,3
5258,5317,42,5.95,3
5283,5380,29,6.3,1
5355,5564,37,4.35,1
5372,5610,40,3.85,1
5390,5656,52,3.79,1
5067,4961,60,5.8,3
5086,5008,50,5.9,3
5103,5054,57,6.13,3
5121,5101,68,6,3
5140,5147,58,5.65,3
5157,5195,43,5.4,3
5176,5241,30,5.85,3
5194,5287,28,6.05,3
5213,5333,33,6.25,3
5269,5480,21,5.1,1
5343,5673,39,3.78,1
5362,5720,36,3.3,1
5021,4978,48,6.05,3
5039,5026,58,5.8,3
5057,5071,66,5.85,3
5075,5118,51,5.68,3
5093,5165,47,5.65,3
5112,5212,46,5.83,3
5129,5259,44,6.1,3
5260,5597,35,4.25,1
5279,5645,32,5.6,1
4957,4951,64,6.3,3
4975,4997,54,6.25,3
4993,5044,62,6.1,3
5011,5090,63,6.05,3
5029,5136,78,5.95,3
5047,5183,52,6.13,3
