IG,Y,E,pm10,smoke,ethnic
S02000260,133,106.179067,17.8,21.9,5.58
S02000261,38,62.431309,18.6,21.8,7.91
S02000262,97,120.006936,18.6,20.8,9.58
S02000263,80,109.10245,17,14,10.39
S02000264,181,149.778215,18.6,15.2,5.67
S02000265,77,82.311562,17,14.6,5.61
S02000266,72,86.37307,16.7,11.1,16.07
S02000267,77,94.472224,17.35,12.8,3.68
S02000268,161,166.947577,17.9,14.1,5.36
S02000269,120,122.113786,16.75,10.8,14.29
S02000270,147,152.729993,18.3,17.5,4.09
S02000271,109,114.137407,16.4,13,6.32
S02000272,106,137.042646,16.6,10.5,9.77
S02000273,90,108.040246,16.6,11.2,4.38
S02000274,91,82.588623,17.2,21.8,0.53
S02000275,86,82.946274,17,21.7,2.55
S02000276,68,102.545991,16.15,13.3,8.2
S02000277,122,97.741903,17,34.1,1.06
S02000278,58,68.23173,15.9,17.4,0.78
S02000279,154,156.936847,15.8,14.9,4.2
S02000280,118,105.769582,16.7,34.2,1.57
S02000281,120,112.671194,16.55,21.2,2.02
S02000282,95,111.756024,15.6,14.2,6.53
S02000283,73,72.337901,16.6,35.1,0
S02000284,103,96.730483,15.5,20.9,3.36
S02000285,46,56.05571,14.85,20.5,4.9
S02000286,94,112.878252,15.7,17.7,1.38
S02000287,93,121.805815,14.75,26.8,1.62
S02000310,94,118.397409,14.55,17.7,1.32
S02000311,152,168.231393,15.1,11.9,6.34
S02000312,62,85.098678,16,12.6,8.35
S02000313,97,106.30757,15.7,17.1,13.31
S02000314,132,140.051633,14.5,24.3,0.98
S02000316,64,103.169857,16.4,12.1,15.17
S02000317,117,135.015807,16.8,13.9,4.41
S02000318,125,141.439119,16.1,16.4,15.94
S02000319,65,66.538462,16.85,12.6,3.59
S02000320,61,84.271792,16.9,22.6,2.18
S02000321,127,132.01883,15.7,29.4,1.46
S02000322,105,91.916877,15.9,32.9,0.59
S02000323,84,103.57254,17.1,13.5,7.21
S02000324,106,95.770073,17,20.1,13.53
S02000325,144,148.924925,17.45,12.2,3.78
S02000326,139,145.067541,17.3,12.6,16.83
S02000327,133,118.755086,17.2,17,18.3
S02000328,159,124.828838,16,30.8,1.75
S02000329,76,102.155742,15.8,27.7,0.78
S02000584,106,95.427027,17.25,34.1,0.62
S02000585,145,114.502175,17.2,46.5,4.57
S02000586,66,61.925942,16.3,27.4,20.82
S02000587,95,103.440767,16.9,42.3,4.51
S02000588,63,77.641715,17.7,45.6,2.6
S02000589,163,127.683877,17.7,36.2,1.68
S02000590,60,75.737136,16.5,27.4,10.08
S02000591,68,72.753201,17.7,22,1.68
S02000592,93,101.317692,17,43.9,16.6
S02000593,135,150.800593,18.1,18.6,10.82
S02000594,100,97.50831,17.3,31.5,7.85
S02000595,72,78.746024,18.2,23.4,3.47
S02000596,133,131.038916,17.5,19.6,15.25
S02000597,138,116.733619,16.5,42.5,0.43
S02000598,101,95.05158,18,18.5,17.57
S02000599,131,115.794885,18.1,24.9,8.51
S02000600,109,87.272843,18.5,23.4,7.68
S02000601,124,97.253535,16.6,43.9,0.3
S02000602,165,152.618188,17.3,36.2,43.28
S02000603,102,96.448875,18.4,27.2,18.72
S02000604,96,98.924887,18.2,26.3,21.78
S02000605,67,67.621135,18.2,26,36.28
S02000606,110,99.834134,16.8,36.1,0.65
S02000607,113,124.39779,18.4,30.4,38.99
S02000608,119,108.1764,16.5,28.7,11
S02000609,89,74.559228,18.9,26.6,32.04
S02000610,217,162.569679,19.2,40.9,10.87
S02000611,132,111.232242,18.5,32.5,6.69
S02000612,125,142.976468,18.25,14.8,51.83
S02000613,99,95.163723,18.3,33.7,5.25
S02000614,100,93.912185,18.9,33.1,48.37
S02000615,123,106.618936,19.2,37.7,27.44
S02000616,93,97.574195,19,38.4,56.74
S02000617,110,89.792459,16.9,39.4,1.37
S02000618,149,111.635963,18.5,27,1.85
S02000619,132,124.811276,19.9,45.4,11.67
S02000620,172,122.766523,18.7,38,1.86
S02000621,192,170.008657,17.8,30.1,6.6
S02000622,57,66.62968,19.6,26.1,83.07
